;
; This file contains list of supported devices
;
; Note: Chips marked with (*) have not been tested by SiRF, but are believed to work with SiRFFlash
;       due to their similarity with other chips on the list.
;
; Last updated: February 16, 2006
;
;
; DEVICE NAME   MANUFACTURER        DEVICE    MANUFACTURER  CAPACITY AND SECTOR MAP                                            DRIVER FILE
;               NAME                CODE      CODE
; ==============================================================================================================================================================
  AM29LV200B    AMD                 0x22bf    0x01          0x40000(1*0x4000+2*0x2000+1*0x8000+3*0x10000)                      generic.bin
  AM29LV400BB   AMD                 0x22ba    0x01          0x80000(1*0x4000+2*0x2000+1*0x8000+7*0x10000)                      generic.bin
  AM29LV400BT*  AMD                 0x22b9    0x01          0x80000(7*0x10000+1*0x8000+2*0x2000+1*0x4000)                      generic.bin
  AM29DL400BB*  AMD                 0x220f    0x01          0x80000(1*0x4000+1*0x8000+4*0x2000+1*0x8000+1*0x4000+6*0x10000)    generic.bin
  AM29DL400BT   AMD                 0x220c    0x01          0x80000(6*0x10000+1*0x4000+1*0x8000+4*0x2000+1*0x8000+1*0x4000)    generic.bin
  AM29LV800BB   AMD                 0x225b    0x01          0x100000(1*0x4000+2*0x2000+1*0x8000+15*0x10000)                    generic.bin
  AM29LV800BT   AMD                 0x22da    0x01          0x100000(15*0x10000+1*0x8000+2*0x2000+1*0x4000)                    generic.bin
  AM29DL800BB   AMD                 0x22cb    0x01          0x100000(1*0x4000+1*0x8000+4*0x2000+1*0x8000+1*0x4000+14*0x10000)  generic.bin
  AM29DL800BT   AMD                 0x224a    0x01          0x100000(14*0x10000+1*0x4000+1*0x8000+4*0x2000+1*0x8000+1*0x4000)  generic.bin
  AM29LV160DB   AMD                 0x2249    0x01          0x200000(1*0x4000+2*0x2000+1*0x8000+31*0x10000)                    generic.bin
  AM29LV160DT   AMD                 0x22c4    0x01          0x200000(31*0x10000+1*0x8000+2*0x2000+1*0x4000)                    generic.bin
  AM29DL161DB*  AMD                 0x2239    0x01          0x200000(8*0x2000+31*0x10000)                                      generic.bin
  AM29DL161DT*  AMD                 0x2236    0x01          0x200000(31*0x10000+8*0x2000)                                      generic.bin
  AM29DL162DB*  AMD                 0x222e    0x01          0x200000(8*0x2000+31*0x10000)                                      generic.bin
  AM29DL162DT   AMD                 0x222d    0x01          0x200000(31*0x10000+8*0x2000)                                      generic.bin
  AM29DL163DB*  AMD                 0x222b    0x01          0x200000(8*0x2000+31*0x10000)                                      generic.bin
  AM29DL163DT   AMD                 0x2228    0x01          0x200000(31*0x10000+8*0x2000)                                      generic.bin
  AM29DL164DB*  AMD                 0x2235    0x01          0x200000(8*0x2000+31*0x10000)                                      generic.bin
  AM29DL164DT   AMD                 0x2233    0x01          0x200000(31*0x10000+8*0x2000)                                      generic.bin
  AM29LV320MB*  AMD                 0x227e    0x01          0x400000(8*0x2000+63*0x10000)                                      generic.bin DEVCOD2=0x221A  DEVCOD3=0x2200
  AM29LV320MT   AMD                 0x227e    0x01          0x400000(63*0x10000+8*0x2000)                                      generic.bin DEVCOD2=0x221A  DEVCOD3=0x2201
